Prix,Année-Modèle,Boite de vitesses,Type de carburant,Kilométrage,Marque,Modèle,Puissance fiscale,Nombre de portes,Origine,Première main,État,equip_Jantes aluminium,equip_Caméra de recul,equip_ESP,equip_Régulateur de vitesse,equip_CD/MP3/Bluetooth,equip_Vitres électriques,equip_Aucun,equip_Radar de recul,equip_Ordinateur de bord,equip_Système de navigation/GPS,equip_ABS,equip_Limiteur de vitesse,equip_Airbags,equip_Verrouillage centralisé à distance,equip_Climatisation,equip_Sièges cuir,equip_Toit ouvrant,Carburant_encoded,Origine_Dédouanée,Origine_Importée neuve,Origine_Inconnue,Origine_Pas encore dédouanée,Origine_WW au Maroc,État_encoded
250000,2020,1,Diesel,62500,Autres,Autres,7.0,5,WW au Maroc,0,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7994797159530338,0.0,0.0,0.0,0.0,1.0,2
118000,2018,0,Diesel,115000,Renault,Clio,6.0,5,WW au Maroc,0,Très bon,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0.7994797159530338,0.0,0.0,0.0,0.0,1.0,2
108000,2022,0,Essence,105000,Kia,Picanto,6.0,5,Inconnue,0,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18709133094283906,0.0,0.0,1.0,0.0,0.0,2
124000,2021,0,Diesel,97500,Renault,Clio,6.0,5,WW au Maroc,1,Très bon,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0.7994797159530338,0.0,0.0,0.0,0.0,1.0,2
198000,2022,1,Hybride,72500,Kia,Autres,6.0,5,WW au Maroc,1,Très bon,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0.011143921816775645,0.0,0.0,0.0,0.0,1.0,2
340000,2022,1,Diesel,97500,Audi,A4,8.0,5,WW au Maroc,1,Neuf,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0.7994797159530338,0.0,0.0,0.0,0.0,1.0,3
132000,2018,0,Diesel,105000,Nissan,Micra,6.0,5,WW au Maroc,1,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7994797159530338,0.0,0.0,0.0,0.0,1.0,2
198000,2014,1,Diesel,145000,Mercedes-Benz,Classe E,9.0,5,Importée neuve,1,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7994797159530338,0.0,1.0,0.0,0.0,0.0,2
135000,2022,1,Essence,52500,Fiat,500,7.0,3,WW au Maroc,1,Très bon,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,0,0,0.18709133094283906,0.0,0.0,0.0,0.0,1.0,2
248000,2021,1,Diesel,92500,Ford,Kuga,6.0,5,WW au Maroc,1,Neuf,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0.7994797159530338,0.0,0.0,0.0,0.0,1.0,3
138000,2021,0,Diesel,115000,Dacia,Sandero,6.0,5,WW au Maroc,0,Très bon,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0.7994797159530338,0.0,0.0,0.0,0.0,1.0,2
117000,2018,1,Essence,92500,Fiat,500,6.0,5,WW au Maroc,0,Très bon,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0.18709133094283906,0.0,0.0,0.0,0.0,1.0,2
58000,2007,0,Essence,105000,Kia,Picanto,6.0,5,WW au Maroc,0,Très bon,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0.18709133094283906,0.0,0.0,0.0,0.0,1.0,2
179000,2016,0,Diesel,155000,Volkswagen,Golf 7,6.0,5,Dédouanée,1,Neuf,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0.7994797159530338,1.0,0.0,0.0,0.0,0.0,3
192000,2024,0,Diesel,17500,Citroen,Berlingo,6.0,3,WW au Maroc,1,Très bon,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0.7994797159530338,0.0,0.0,0.0,0.0,1.0,2
230000,2017,1,Diesel,185000,Volkswagen,Tiguan,8.0,5,WW au Maroc,1,Très bon,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,0,0.7994797159530338,0.0,0.0,0.0,0.0,1.0,2
175000,2021,1,Diesel,105000,Mercedes-Benz,Classe A,6.0,5,WW au Maroc,0,Très bon,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.7994797159530338,0.0,0.0,0.0,0.0,1.0,2
102000,2011,0,Diesel,195000,Opel,Astra,7.0,5,WW au Maroc,0,Très bon,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0.7994797159530338,0.0,0.0,0.0,0.0,1.0,2
295000,2023,1,Hybride,32500,Renault,Autres,8.0,5,WW au Maroc,1,Très bon,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.011143921816775645,0.0,0.0,0.0,0.0,1.0,2
69000,2017,0,Diesel,175000,Fiat,Doblo,5.0,5,Inconnue,0,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7994797159530338,0.0,0.0,1.0,0.0,0.0,2
175000,2023,0,Diesel,82500,Renault,Express,6.0,5,WW au Maroc,1,Mauvais,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.7994797159530338,0.0,0.0,0.0,0.0,1.0,0
135000,2022,1,Essence,37500,Hyundai,i10,6.0,5,WW au Maroc,1,Très bon,0,1,1,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0.18709133094283906,0.0,0.0,0.0,0.0,1.0,2
155000,2019,0,Diesel,125000,Citroen,Berlingo,6.0,5,WW au Maroc,0,Très bon,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0.7994797159530338,0.0,0.0,0.0,0.0,1.0,2
132000,2021,0,Diesel,135000,Renault,Clio,6.0,5,WW au Maroc,1,Très bon,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.7994797159530338,0.0,0.0,0.0,0.0,1.0,2
188000,2022,0,Diesel,32500,Toyota,Autres,10.0,5,WW au Maroc,1,Très bon,0,0,1,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0.7994797159530338,0.0,0.0,0.0,0.0,1.0,2
318000,2021,1,Diesel,72500,Hyundai,Santa Fe,9.0,5,WW au Maroc,1,Très bon,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.7994797159530338,0.0,0.0,0.0,0.0,1.0,2
